"trainer/global_step","style b no equiv auto - _step","style b no equiv auto - _step__MIN","style b no equiv auto - _step__MAX","style b no equiv auto - train_eiko_epoch","style b no equiv auto - train_eiko_epoch__MIN","style b no equiv auto - train_eiko_epoch__MAX","best style b auto - _step","best style b auto - _step__MIN","best style b auto - _step__MAX","best style b auto - train_eiko_epoch","best style b auto - train_eiko_epoch__MIN","best style b auto - train_eiko_epoch__MAX"
"27000","27000","27000","27000","0.07803174625337124","0.07803174625337124","0.07803174625337124","27000","27000","27000","0.06484528618305921","0.06484528618305921","0.06484528618305921"
"27500","27500","27500","27500","0.07738487324118615","0.07738487324118615","0.07738487324118615","27500","27500","27500","0.06426803209632635","0.06426803209632635","0.06426803209632635"
"28000","28000","28000","28000","0.07770036205649376","0.07770036205649376","0.07770036205649376","28000","28000","28000","0.06400283918529749","0.06400283918529749","0.06400283918529749"
"28500","28500","28500","28500","0.07715644896775484","0.07715644896775484","0.07715644896775484","28500","28500","28500","0.06352494758367538","0.06352494758367538","0.06352494758367538"
"29000","29000","29000","29000","0.07691660459339619","0.07691660459339619","0.07691660459339619","29000","29000","29000","0.06326473020017147","0.06326473020017147","0.06326473020017147"
"29500","29500","29500","29500","0.07702989337593318","0.07702989337593318","0.07702989337593318","29500","29500","29500","0.06324244585633278","0.06324244585633278","0.06324244585633278"
"30000","30000","30000","30000","0.07696083235740661","0.07696083235740661","0.07696083235740661","30000","30000","30000","0.06292023911327124","0.06292023911327124","0.06292023911327124"
"30500","30500","30500","30500","0.07634218237549066","0.07634218237549066","0.07634218237549066","30500","30500","30500","0.06279851760715247","0.06279851760715247","0.06279851760715247"
"31000","31000","31000","31000","0.07610044413805007","0.07610044413805007","0.07610044413805007","31000","31000","31000","0.06284286449849606","0.06284286449849606","0.06284286449849606"
"31500","31500","31500","31500","0.07613180203735828","0.07613180203735828","0.07613180203735828","31500","31500","31500","0.062483584091067315","0.062483584091067315","0.062483584091067315"
"32000","32000","32000","32000","0.07589011956006289","0.07589011956006289","0.07589011956006289","32000","32000","32000","0.06192690675705671","0.06192690675705671","0.06192690675705671"
"32500","32500","32500","32500","0.07558371359854936","0.07558371359854936","0.07558371359854936","32500","32500","32500","0.06244792772829533","0.06244792772829533","0.06244792772829533"
"33000","33000","33000","33000","0.07586594296991825","0.07586594296991825","0.07586594296991825","33000","33000","33000","0.06148248188942671","0.06148248188942671","0.06148248188942671"
"33500","33500","33500","33500","0.07522837102413177","0.07522837102413177","0.07522837102413177","33500","33500","33500","0.06165207528322935","0.06165207528322935","0.06165207528322935"
"34000","34000","34000","34000","0.07511050243675708","0.07511050243675708","0.07511050243675708","34000","34000","34000","0.0617542849034071","0.0617542849034071","0.0617542849034071"
"34500","34500","34500","34500","0.0748256597816944","0.0748256597816944","0.0748256597816944","34500","34500","34500","0.060991836480796334","0.060991836480796334","0.060991836480796334"
"35000","35000","35000","35000","0.07489254301786423","0.07489254301786423","0.07489254301786423","35000","35000","35000","0.06071025864034891","0.06071025864034891","0.06071025864034891"
"35500","35500","35500","35500","0.07501583658903838","0.07501583658903838","0.07501583658903838","35500","35500","35500","0.06077975371479988","0.06077975371479988","0.06077975371479988"
"36000","36000","36000","36000","0.0747956223487854","0.0747956223487854","0.0747956223487854","36000","36000","36000","0.06034406308084726","0.06034406308084726","0.06034406308084726"
"36500","36500","36500","36500","0.07438575562089682","0.07438575562089682","0.07438575562089682","36500","36500","36500","0.06029688147455454","0.06029688147455454","0.06029688147455454"
"37000","37000","37000","37000","0.07452168022841216","0.07452168022841216","0.07452168022841216","37000","37000","37000","0.060433919206261635","0.060433919206261635","0.060433919206261635"
"37500","37500","37500","37500","0.07422243100404739","0.07422243100404739","0.07422243100404739","37500","37500","37500","0.059770395323634144","0.059770395323634144","0.059770395323634144"
"38000","38000","38000","38000","0.07431058376282454","0.07431058376282454","0.07431058376282454","38000","38000","38000","0.05964190332591534","0.05964190332591534","0.05964190332591534"
"38500","38500","38500","38500","0.07395450437068939","0.07395450437068939","0.07395450437068939","38500","38500","38500","0.05963838229328394","0.05963838229328394","0.05963838229328394"
"39000","39000","39000","39000","0.07364009637385607","0.07364009637385607","0.07364009637385607","39000","39000","39000","0.059800128377974035","0.059800128377974035","0.059800128377974035"
"39500","39500","39500","39500","0.07419599464535713","0.07419599464535713","0.07419599464535713","39500","39500","39500","0.059384245052933694","0.059384245052933694","0.059384245052933694"
"40000","40000","40000","40000","0.07354874571412802","0.07354874571412802","0.07354874571412802","40000","40000","40000","0.059237400136888024","0.059237400136888024","0.059237400136888024"
"40500","40500","40500","40500","0.0734458224400878","0.0734458224400878","0.0734458224400878","40500","40500","40500","0.058938772231340406","0.058938772231340406","0.058938772231340406"
"41000","41000","41000","41000","0.07342415301501751","0.07342415301501751","0.07342415301501751","41000","41000","41000","0.059192971155047416","0.059192971155047416","0.059192971155047416"
"41500","41500","41500","41500","0.07347781346738338","0.07347781346738338","0.07347781346738338","41500","41500","41500","0.059073839217424394","0.059073839217424394","0.059073839217424394"
"42000","42000","42000","42000","0.07309774155914783","0.07309774155914783","0.07309774155914783","42000","42000","42000","0.05869386634975672","0.05869386634975672","0.05869386634975672"
"42500","42500","42500","42500","0.07298885080963373","0.07298885080963373","0.07298885080963373","42500","42500","42500","0.05874026304483414","0.05874026304483414","0.05874026304483414"
"43000","43000","43000","43000","0.07298117519170046","0.07298117519170046","0.07298117519170046","43000","43000","43000","0.058854144491255284","0.058854144491255284","0.058854144491255284"
"43500","43500","43500","43500","0.07302565915882588","0.07302565915882588","0.07302565915882588","43500","43500","43500","0.05812837349623442","0.05812837349623442","0.05812837349623442"
"44000","44000","44000","44000","0.07257004629820585","0.07257004629820585","0.07257004629820585","44000","44000","44000","0.057495390705764295","0.057495390705764295","0.057495390705764295"
"44500","44500","44500","44500","0.07247983014583588","0.07247983014583588","0.07247983014583588","44500","44500","44500","0.05823441828787327","0.05823441828787327","0.05823441828787327"
"45000","45000","45000","45000","0.07249129322171212","0.07249129322171212","0.07249129322171212","45000","45000","45000","0.058619646161794665","0.058619646161794665","0.058619646161794665"
"45500","45500","45500","45500","0.07241971892863512","0.07241971892863512","0.07241971892863512","45500","45500","45500","0.05788207206130028","0.05788207206130028","0.05788207206130028"
"46000","46000","46000","46000","0.07228720413893461","0.07228720413893461","0.07228720413893461","46000","46000","46000","0.05726928573846817","0.05726928573846817","0.05726928573846817"
"46500","46500","46500","46500","0.07243662888556719","0.07243662888556719","0.07243662888556719","46500","46500","46500","0.05709383138269186","0.05709383138269186","0.05709383138269186"
"47000","47000","47000","47000","0.07202507143467665","0.07202507143467665","0.07202507143467665","47000","47000","47000","0.057449279725551604","0.057449279725551604","0.057449279725551604"
"47500","47500","47500","47500","0.07193558607250453","0.07193558607250453","0.07193558607250453","47500","47500","47500","0.057440629072487356","0.057440629072487356","0.057440629072487356"
"48000","48000","48000","48000","0.07215045434236526","0.07215045434236526","0.07215045434236526","48000","48000","48000","0.057203456707298754","0.057203456707298754","0.057203456707298754"
"48500","48500","48500","48500","0.07178318551927805","0.07178318551927805","0.07178318551927805","48500","48500","48500","0.05687156318128109","0.05687156318128109","0.05687156318128109"
"49000","49000","49000","49000","0.07181192096322775","0.07181192096322775","0.07181192096322775","49000","49000","49000","0.057130090147256854","0.057130090147256854","0.057130090147256854"
"49500","49500","49500","49500","0.07174729895591736","0.07174729895591736","0.07174729895591736","49500","49500","49500","0.05699291421473026","0.05699291421473026","0.05699291421473026"
"50001","50001","50001","50001","0.07159420135617256","0.07159420135617256","0.07159420135617256","50001","50001","50001","0.057016876071691515","0.057016876071691515","0.057016876071691515"
"50500","50500","50500","50500","0.07113584723323584","0.07113584723323584","0.07113584723323584","50500","50500","50500","0.05665008204430342","0.05665008204430342","0.05665008204430342"
"51000","51000","51000","51000","0.07111756075173617","0.07111756075173617","0.07111756075173617","51000","51000","51000","0.05632917266339064","0.05632917266339064","0.05632917266339064"
"51500","51500","51500","51500","0.07105170183628798","0.07105170183628798","0.07105170183628798","51500","51500","51500","0.05672208624333143","0.05672208624333143","0.05672208624333143"
"52000","52000","52000","52000","0.07124833649396896","0.07124833649396896","0.07124833649396896","52000","52000","52000","0.05601401314139366","0.05601401314139366","0.05601401314139366"
"52500","52500","52500","52500","0.07106565287709236","0.07106565287709236","0.07106565287709236","52500","52500","52500","0.0562762388959527","0.0562762388959527","0.0562762388959527"
"53000","53000","53000","53000","0.07119028721749783","0.07119028721749783","0.07119028721749783","53000","53000","53000","0.056555254600942136","0.056555254600942136","0.056555254600942136"
"53500","53500","53500","53500","0.07113412635773421","0.07113412635773421","0.07113412635773421","53500","53500","53500","0.056453875944018364","0.056453875944018364","0.056453875944018364"
"54000","54000","54000","54000","0.07095521201193333","0.07095521201193333","0.07095521201193333","54000","54000","54000","0.05597905892133713","0.05597905892133713","0.05597905892133713"
"54500","54500","54500","54500","0.07090394628047943","0.07090394628047943","0.07090394628047943","54500","54500","54500","0.05579198320955038","0.05579198320955038","0.05579198320955038"
"55000","55000","55000","55000","0.07061239348351955","0.07061239348351955","0.07061239348351955","55000","55000","55000","0.05550582830607891","0.05550582830607891","0.05550582830607891"
"55500","55500","55500","55500","0.07065215411037207","0.07065215411037207","0.07065215411037207","55500","55500","55500","0.055993775084614755","0.055993775084614755","0.055993775084614755"
"56000","56000","56000","56000","0.07050504905730486","0.07050504905730486","0.07050504905730486","56000","56000","56000","0.05542179378122091","0.05542179378122091","0.05542179378122091"
"56500","56500","56500","56500","0.07023235242068768","0.07023235242068768","0.07023235242068768","56500","56500","56500","0.0556721605733037","0.0556721605733037","0.0556721605733037"
"57000","57000","57000","57000","0.07049788038432599","0.07049788038432599","0.07049788038432599","57000","57000","57000","0.05560932659357786","0.05560932659357786","0.05560932659357786"
"57500","57500","57500","57500","0.07028330236673355","0.07028330236673355","0.07028330236673355","57500","57500","57500","0.055592522114515305","0.055592522114515305","0.055592522114515305"
"58000","58000","58000","58000","0.0702804571762681","0.0702804571762681","0.0702804571762681","58000","58000","58000","0.05511841473728418","0.05511841473728418","0.05511841473728418"
"58500","58500","58500","58500","0.07026089225709438","0.07026089225709438","0.07026089225709438","58500","58500","58500","0.05529645489901304","0.05529645489901304","0.05529645489901304"
"59000","59000","59000","59000","0.07002987623959779","0.07002987623959779","0.07002987623959779","59000","59000","59000","0.05483110921829939","0.05483110921829939","0.05483110921829939"
"59500","59500","59500","59500","0.06980658927559853","0.06980658927559853","0.06980658927559853","59500","59500","59500","0.055351634435355665","0.055351634435355665","0.055351634435355665"
"60000","60000","60000","60000","0.06971555675566196","0.06971555675566196","0.06971555675566196","60000","60000","60000","0.05526718857139349","0.05526718857139349","0.05526718857139349"
"60500","60500","60500","60500","0.06989353428781032","0.06989353428781032","0.06989353428781032","60500","60500","60500","0.05504389791190624","0.05504389791190624","0.05504389791190624"
"61000","61000","61000","61000","0.06970320294052362","0.06970320294052362","0.06970320294052362","61000","61000","61000","0.05491183178126812","0.05491183178126812","0.05491183178126812"
"61500","61500","61500","61500","0.06971460197865963","0.06971460197865963","0.06971460197865963","61500","61500","61500","0.0550981650352478","0.0550981650352478","0.0550981650352478"
"62000","62000","62000","62000","0.06975224544852972","0.06975224544852972","0.06975224544852972","62000","62000","62000","0.054822609923779964","0.054822609923779964","0.054822609923779964"
"62500","62500","62500","62500","0.06922245892882348","0.06922245892882348","0.06922245892882348","62500","62500","62500","0.05479536443203688","0.05479536443203688","0.05479536443203688"
"63000","63000","63000","63000","0.06948173878341914","0.06948173878341914","0.06948173878341914","63000","63000","63000","0.05485068968683481","0.05485068968683481","0.05485068968683481"
"63500","63500","63500","63500","0.06955293772369624","0.06955293772369624","0.06955293772369624","63500","63500","63500","0.05468698661774397","0.05468698661774397","0.05468698661774397"
"64000","64000","64000","64000","0.06942573214322328","0.06942573214322328","0.06942573214322328","64000","64000","64000","0.05473112291097641","0.05473112291097641","0.05473112291097641"
"64500","64500","64500","64500","0.0691694215387106","0.0691694215387106","0.0691694215387106","64500","64500","64500","0.05444976746290922","0.05444976746290922","0.05444976746290922"
"65000","65000","65000","65000","0.06953124617040157","0.06953124617040157","0.06953124617040157","65000","65000","65000","0.054564717657864095","0.054564717657864095","0.054564717657864095"
"65500","65500","65500","65500","0.06913407018780708","0.06913407018780708","0.06913407018780708","65500","65500","65500","0.054071086294949056","0.054071086294949056","0.054071086294949056"
"66000","66000","66000","66000","0.06897468978166581","0.06897468978166581","0.06897468978166581","66000","66000","66000","0.05412530817836523","0.05412530817836523","0.05412530817836523"
"66500","66500","66500","66500","0.06876563490182161","0.06876563490182161","0.06876563490182161","66500","66500","66500","0.054679369397461416","0.054679369397461416","0.054679369397461416"
"67000","67000","67000","67000","0.06881565266102553","0.06881565266102553","0.06881565266102553","67000","67000","67000","0.054263532474637034","0.054263532474637034","0.054263532474637034"
"67500","67500","67500","67500","0.06930233266204595","0.06930233266204595","0.06930233266204595","67500","67500","67500","0.05413749551028013","0.05413749551028013","0.05413749551028013"
"68000","68000","68000","68000","0.06880600391328334","0.06880600391328334","0.06880600391328334","68000","68000","68000","0.053942046098411085","0.053942046098411085","0.053942046098411085"
"68500","68500","68500","68500","0.06875820253789425","0.06875820253789425","0.06875820253789425","68500","68500","68500","0.05379059249907732","0.05379059249907732","0.05379059249907732"
"69000","69000","69000","69000","0.06881338619440794","0.06881338619440794","0.06881338619440794","69000","69000","69000","0.053803568072617054","0.053803568072617054","0.053803568072617054"
"69500","69500","69500","69500","0.06878935056179762","0.06878935056179762","0.06878935056179762","69500","69500","69500","0.053848287358880045","0.053848287358880045","0.053848287358880045"
"70000","70000","70000","70000","0.06844998635351658","0.06844998635351658","0.06844998635351658","70000","70000","70000","0.053516294747591016","0.053516294747591016","0.053516294747591016"
"70500","70500","70500","70500","0.06859927766025066","0.06859927766025066","0.06859927766025066","70500","70500","70500","0.05373806576430797","0.05373806576430797","0.05373806576430797"
"71000","71000","71000","71000","0.06831500028818846","0.06831500028818846","0.06831500028818846","71000","71000","71000","0.053581355534493925","0.053581355534493925","0.053581355534493925"
"71500","71500","71500","71500","0.06866027704626322","0.06866027704626322","0.06866027704626322","71500","71500","71500","0.05372897308319807","0.05372897308319807","0.05372897308319807"
"72000","72000","72000","72000","0.06834141611307859","0.06834141611307859","0.06834141611307859","72000","72000","72000","0.053398431889712814","0.053398431889712814","0.053398431889712814"
"72500","72500","72500","72500","0.06821470719575883","0.06821470719575883","0.06821470719575883","72500","72500","72500","0.05318127328902483","0.05318127328902483","0.05318127328902483"
"73000","73000","73000","73000","0.06847787386924029","0.06847787386924029","0.06847787386924029","73000","73000","73000","0.05348396397382021","0.05348396397382021","0.05348396397382021"
"73500","73500","73500","73500","0.068243103004992","0.068243103004992","0.068243103004992","73500","73500","73500","0.053262977071106436","0.053262977071106436","0.053262977071106436"
"74000","74000","74000","74000","0.06817618910223246","0.06817618910223246","0.06817618910223246","74000","74000","74000","0.05335848876088858","0.05335848876088858","0.05335848876088858"
"74500","74500","74500","74500","0.06784270501881838","0.06784270501881838","0.06784270501881838","74500","74500","74500","0.053016280233860014","0.053016280233860014","0.053016280233860014"
"75000","75000","75000","75000","0.06773226675391197","0.06773226675391197","0.06773226675391197","75000","75000","75000","0.05307698825746775","0.05307698825746775","0.05307698825746775"
"75500","75500","75500","75500","0.06818376606702804","0.06818376606702804","0.06818376606702804","75500","75500","75500","0.05308882488310337","0.05308882488310337","0.05308882488310337"
"76000","76000","76000","76000","0.06783057411015034","0.06783057411015034","0.06783057411015034","76000","76000","76000","0.053057571798563005","0.053057571798563005","0.053057571798563005"
"76500","76500","76500","76500","0.06785669542104006","0.06785669542104006","0.06785669542104006","76500","76500","76500","0.05281811126321554","0.05281811126321554","0.05281811126321554"
"77000","77000","77000","77000","0.06774620650708675","0.06774620650708675","0.06774620650708675","77000","77000","77000","0.05275064418464899","0.05275064418464899","0.05275064418464899"
"77500","77500","77500","77500","0.0677576582506299","0.0677576582506299","0.0677576582506299","77500","77500","77500","0.05298038598150015","0.05298038598150015","0.05298038598150015"
"78000","78000","78000","78000","0.06801245441287757","0.06801245441287757","0.06801245441287757","78000","78000","78000","0.052551458396017554","0.052551458396017554","0.052551458396017554"
"78500","78500","78500","78500","0.06754544339329004","0.06754544339329004","0.06754544339329004","78500","78500","78500","0.052479611225426194","0.052479611225426194","0.052479611225426194"
"79000","79000","79000","79000","0.06746477508544922","0.06746477508544922","0.06746477508544922","79000","79000","79000","0.05258653543144465","0.05258653543144465","0.05258653543144465"
"79500","79500","79500","79500","0.06763949074596166","0.06763949074596166","0.06763949074596166","79500","79500","79500","0.0526928727850318","0.0526928727850318","0.0526928727850318"
"80000","80000","80000","80000","0.06762424527853728","0.06762424527853728","0.06762424527853728","80000","80000","80000","0.05257996805012226","0.05257996805012226","0.05257996805012226"
"80500","80500","80500","80500","0.06744581824541092","0.06744581824541092","0.06744581824541092","80500","80500","80500","0.052594966255128384","0.052594966255128384","0.052594966255128384"
"81000","81000","81000","81000","0.0672593112885952","0.0672593112885952","0.0672593112885952","81000","81000","81000","0.052818025775253775","0.052818025775253775","0.052818025775253775"
"81500","81500","81500","81500","0.06724907979369163","0.06724907979369163","0.06724907979369163","81500","81500","81500","0.05242688452452421","0.05242688452452421","0.05242688452452421"
"82000","82000","82000","82000","0.06703737749159336","0.06703737749159336","0.06703737749159336","82000","82000","82000","0.05237839115411043","0.05237839115411043","0.05237839115411043"
"82500","82500","82500","82500","0.06729361961781978","0.06729361961781978","0.06729361961781978","82500","82500","82500","0.052405610881745814","0.052405610881745814","0.052405610881745814"
"83000","83000","83000","83000","0.06748770974576473","0.06748770974576473","0.06748770974576473","83000","83000","83000","0.0526738618761301","0.0526738618761301","0.0526738618761301"
"83500","83500","83500","83500","0.0671616180986166","0.0671616180986166","0.0671616180986166","83500","83500","83500","0.05199322352558374","0.05199322352558374","0.05199322352558374"
"84000","84000","84000","84000","0.0671824647411704","0.0671824647411704","0.0671824647411704","84000","84000","84000","0.05250179152935743","0.05250179152935743","0.05250179152935743"
"84500","84500","84500","84500","0.06698303564637899","0.06698303564637899","0.06698303564637899","84500","84500","84500","0.05218726776540279","0.05218726776540279","0.05218726776540279"
"85000","85000","85000","85000","0.0668822585940361","0.0668822585940361","0.0668822585940361","85000","85000","85000","0.05181249864399433","0.05181249864399433","0.05181249864399433"
"85500","85500","85500","85500","0.06685078383982182","0.06685078383982182","0.06685078383982182","85500","85500","85500","0.05232145457714796","0.05232145457714796","0.05232145457714796"
"86000","86000","86000","86000","0.06708842831850052","0.06708842831850052","0.06708842831850052","86000","86000","86000","0.05200855600088835","0.05200855600088835","0.05200855600088835"
"86500","86500","86500","86500","0.06671527645736933","0.06671527645736933","0.06671527645736933","86500","86500","86500","0.05211191356182098","0.05211191356182098","0.05211191356182098"
"87000","87000","87000","87000","0.067067383736372","0.067067383736372","0.067067383736372","87000","87000","87000","0.05177331069111824","0.05177331069111824","0.05177331069111824"
"87500","87500","87500","87500","0.06671455379575492","0.06671455379575492","0.06671455379575492","87500","87500","87500","0.05170517715066671","0.05170517715066671","0.05170517715066671"
"88000","88000","88000","88000","0.06650959991663695","0.06650959991663695","0.06650959991663695","88000","88000","88000","0.051847067981958386","0.051847067981958386","0.051847067981958386"
